Wavelength,Transmittance
1260,52.90
1256,53.02
1248,52.94
1244,52.91
1240,52.84
1236,52.80
1232,52.82
1228,52.75
1224,52.87
1220,52.87
1216,52.90
1212,52.71
1208,52.82
1204,52.80
1200,52.74
1196,52.63
1192,52.67
1188,52.58
1184,52.67
1180,52.51
1176,52.48
1172,52.31
1168,52.25
1164,52.17
1160,51.92
1156,51.90
1152,51.68
1148,51.48
1144,51.17
1140,51.01
1136,50.70
1132,50.38
1128,50.06
1124,49.72
1120,49.36
1116,48.86
1112,48.48
1108,47.96
1104,47.55
1100,46.96
1096,46.29
1092,45.57
1088,44.68
1084,44.09
1080,43.03
1076,42.18
1072,41.14
1068,40.03
1064,38.74
1060,37.14
1056,35.25
1052,33.48
1048,31.31
1044,29.24
1040,27.18
1036,25.03
1032,22.87
1028,20.96
1024,19.06
1020,17.13
1016,15.41
1012,13.60
1008,12.06
1004,10.63
1000,9.26
996,7.94
992,6.87
988,5.96
984,4.97
980,4.05
976,3.55
972,2.85
968,2.38
964,1.92
960,1.54
