Wavelength,Transmittance
2400,67.89
2398,67.9
2396,67.87
2394,67.9
2392,67.89
2390,67.88
2388,67.87
2386,67.88
2384,67.86
2382,67.85
2380,67.82
2378,67.81
2376,67.79
2374,67.73
2372,67.73
2370,67.73
2368,67.74
2366,67.73
2364,67.73
2362,67.71
2360,67.72
2358,67.72
2356,67.69
2354,67.67
2352,67.68
2350,67.68
2348,67.65
2346,67.66
2344,67.65
2342,67.65
2340,67.64
2338,67.62
2336,67.62
2334,67.63
2332,67.61
2330,67.58
2328,67.61
2326,67.59
2324,67.58
2322,67.56
2320,67.55
2318,67.57
2316,67.55
2314,67.54
2312,67.53
2310,67.51
2308,67.5
2306,67.5
2304,67.47
2302,67.45
2300,67.43
2298,67.41
2296,67.38
2294,67.39
2292,67.39
2290,67.38
2288,67.38
2286,67.39
2284,67.38
2282,67.38
2280,67.37
2278,67.38
2276,67.37
2274,67.35
2272,67.33
2270,67.34
2268,67.33
2266,67.32
2264,67.3
2262,67.26
2260,67.28
2258,67.28
2256,67.24
2254,67.22
2252,67.23
2250,67.2
2248,67.19
2246,67.18
2244,67.16
2242,67.13
2240,67.09
2238,67.1
2236,67.1
2234,67.07
2232,67.04
2230,67.05
2228,67.04
2226,67.02
2224,67
2222,66.99
2220,66.96
2218,66.95
2216,66.96
2214,66.97
2212,66.97
2210,66.94
2208,66.95
2206,66.97
2204,66.97
2202,66.97
2200,66.99
2198,67.02
2196,67.04
2194,67.04
2192,67.05
2190,67.09
2188,67.13
2186,67.15
2184,67.16
2182,67.18
2180,67.21
2178,67.21
2176,67.23
2174,67.27
2172,67.28
2170,67.29
2168,67.3
2166,67.29
2164,67.3
2162,67.31
2160,67.32
2158,67.32
2156,67.33
2154,67.33
2152,67.34
2150,67.36
2148,67.36
2146,67.36
2144,67.36
2142,67.37
2140,67.37
2138,67.38
2136,67.39
2134,67.38
2132,67.38
2130,67.38
2128,67.39
2126,67.4
2124,67.4
2122,67.39
2120,67.39
2118,67.4
2116,67.39
2114,67.38
2112,67.4
2110,67.4
2108,67.39
2106,67.37
2104,67.38
2102,67.39
2100,67.39
2098,67.37
2096,67.35
2094,67.36
2092,67.36
2090,67.36
2088,67.35
2086,67.34
2084,67.33
2082,67.33
2080,67.34
2078,67.33
2076,67.32
2074,67.3
2072,67.29
2070,67.31
2068,67.29
2066,67.28
2064,67.28
2062,67.26
2060,67.25
2058,67.25
2056,67.26
2054,67.25
2052,67.22
2050,67.22
2048,67.24
2046,67.23
2044,67.2
2042,67.19
2040,67.21
2038,67.19
2036,67.17
2034,67.17
2032,67.18
2030,67.16
2028,67.18
2026,67.18
2024,67.15
2022,67.17
2020,67.17
2018,67.15
2016,67.17
2014,67.16
2012,67.17
2010,67.16
2008,67.16
2006,67.15
2004,67.16
2002,67.15
2000,67.15
1998,67.16
1996,67.15
1994,67.15
1992,67.15
1990,67.14
1988,67.15
1986,67.15
1984,67.16
1982,67.14
1980,67.13
1978,67.13
1976,67.12
1974,67.13
1972,67.12
1970,67.11
1968,67.12
1966,67.11
1964,67.1
1962,67.09
1960,67.1
1958,67.09
1956,67.09
1954,67.08
1952,67.07
1950,67.07
1948,67.08
1946,67.06
1944,67.06
1942,67.06
1940,67.05
1938,67.04
1936,67.06
1934,67.04
1932,67.05
1930,67.03
1928,67.02
1926,67.04
1924,67.04
1922,67.05
1920,67.03
1918,67.07
1916,67.06
1914,67.04
1912,67.04
1910,67.06
1908,67.09
1906,67.02
1904,67.04
1902,67.09
1900,67.08
1898,67.12
1896,67.14
1894,67.13
1892,67.1
1890,67.11
1888,67.15
1886,67.16
1884,67.13
1882,67.17
1880,67.19
1878,67.18
1876,67.16
1874,67.15
1872,67.14
1870,67.16
1868,67.17
1866,67.27
1864,67.21
1862,67.26
1860,67.09
1858,67.22
1856,67.16
1854,67.19
1852,67.23
1850,67.2
1848,67.12
1846,67.18
1844,67.26
1842,67.17
1840,67.21
1838,67.21
1836,67.19
1834,67.24
1832,67.22
1830,67.22
1828,67.2
1826,67.15
1824,67.27
1822,67.22
1820,67.14
1818,67.25
1816,67.23
1814,67.23
1812,67.21
1810,67.24
1808,67.25
1806,67.22
1804,67.27
1802,67.23
1800,68.36
1798,68.36
1796,68.37
1794,68.37
1792,68.38
1790,68.36
1788,68.39
1786,68.39
1784,68.4
1782,68.39
1780,68.42
1778,68.43
1776,68.44
1774,68.44
1772,68.45
1770,68.46
1768,68.47
1766,68.48
1764,68.49
1762,68.5
1760,68.5
1758,68.53
1756,68.52
1754,68.53
1752,68.53
1750,68.54
1748,68.54
1746,68.53
1744,68.54
1742,68.54
1740,68.54
1738,68.55
1736,68.56
1734,68.56
1732,68.57
1730,68.57
1728,68.58
1726,68.58
1724,68.58
1722,68.59
1720,68.59
1718,68.6
1716,68.59
1714,68.61
1712,68.61
1710,68.61
1708,68.62
1706,68.62
1704,68.62
1702,68.63
1700,68.62
1698,68.63
1696,68.65
1694,68.66
1692,68.67
1690,68.68
1688,68.67
1686,68.69
1684,68.72
1682,68.73
1680,68.73
1678,68.74
1676,68.76
1674,68.77
1672,68.78
1670,68.79
1668,68.78
1666,68.8
1664,68.81
1662,68.82
1660,68.82
1658,68.83
1656,68.85
1654,68.85
1652,68.85
1650,68.86
1648,68.86
1646,68.86
1644,68.86
1642,68.86
1640,68.85
1638,68.86
1636,68.86
1634,68.85
1632,68.85
1630,68.84
1628,68.84
1626,68.83
1624,68.82
1622,68.83
1620,68.83
1618,68.82
1616,68.81
1614,68.81
1612,68.81
1610,68.82
1608,68.82
1606,68.81
1604,68.82
1602,68.82
1600,68.83
1598,68.84
1596,68.85
1594,68.85
1592,68.86
1590,68.87
1588,68.88
1586,68.89
1584,68.9
1582,68.9
1580,68.91
1578,68.92
1576,68.92
1574,68.94
1572,68.94
1570,68.94
1568,68.94
1566,68.94
1564,68.95
1562,68.95
1560,68.95
1558,68.95
1556,68.94
1554,68.94
1552,68.94
1550,68.92
1548,68.92
1546,68.91
1544,68.9
1542,68.9
1540,68.9
1538,68.89
1536,68.88
1534,68.87
1532,68.86
1530,68.86
1528,68.84
1526,68.84
1524,68.84
1522,68.83
1520,68.83
1518,68.83
1516,68.83
1514,68.83
1512,68.83
1510,68.83
1508,68.83
1506,68.83
1504,68.84
1502,68.85
1500,68.86
1498,68.86
1496,68.87
1494,68.88
1492,68.88
1490,68.88
1488,68.88
1486,68.89
1484,68.89
1482,68.89
1480,68.89
1478,68.88
1476,68.88
1474,68.87
1472,68.87
1470,68.86
1468,68.85
1466,68.84
1464,68.84
1462,68.83
1460,68.81
1458,68.8
1456,68.78
1454,68.77
1452,68.77
1450,68.75
1448,68.75
1446,68.74
1444,68.74
1442,68.73
1440,68.73
1438,68.73
1436,68.72
1434,68.71
1432,68.72
1430,68.72
1428,68.73
1426,68.72
1424,68.72
1422,68.73
1420,68.74
1418,68.74
1416,68.74
1414,68.72
1412,68.73
1410,68.75
1408,68.76
1406,68.76
1404,68.74
1402,68.76
1400,68.73
1398,68.75
1396,68.76
1394,68.77
1392,68.75
1390,68.76
1388,68.74
1386,68.76
1384,68.8
1382,68.77
1380,68.75
1378,68.76
1376,68.76
1374,68.78
1372,68.79
1370,68.77
1368,68.76
1366,68.81
1364,68.81
1362,68.78
1360,68.78
1358,68.79
1356,68.8
1354,68.8
1352,68.8
1350,68.81
1348,68.82
1346,68.83
1344,68.83
1342,68.83
1340,68.84
1338,68.84
1336,68.84
